epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1091.21,1.04373,3.92018,1.73852,0.00182,0.34535,0.15925,0.08165,0.99118,4.58568,1.713,0.06733,0.00033,0.00033
2,1820.18,0.90653,3.23783,1.62217,0.78637,0.35392,0.4435,0.2022,1.22021,3.50323,2.1868,0.0343247,0.000658027,0.000658027
3,2530.13,0.90711,2.52518,1.62934,0.72309,0.4517,0.47319,0.21763,1.17339,3.1425,2.05183,0.00131405,0.00098072,0.00098072
4,3241.07,0.86648,2.17291,1.56254,0.58341,0.49853,0.53067,0.28544,1.07871,2.7503,1.81423,0.000976,0.000976,0.000976
5,3952.06,0.85167,1.93512,1.52868,0.58708,0.51138,0.57793,0.31667,1.06087,2.67876,1.73793,0.000968,0.000968,0.000968
6,4662.97,0.80347,1.82535,1.47382,0.51683,0.57992,0.57004,0.34506,0.96359,2.37523,1.72597,0.00096,0.00096,0.00096
7,5375.27,0.78539,1.74706,1.44448,0.60546,0.58311,0.56116,0.32917,0.99015,2.66417,1.75207,0.000952,0.000952,0.000952
8,6087.86,0.78131,1.6908,1.4337,0.64834,0.5881,0.61536,0.38388,0.82911,2.39225,1.54702,0.000944,0.000944,0.000944
9,6800.18,0.75733,1.61573,1.4105,0.67421,0.65365,0.67484,0.44304,0.7758,2.40073,1.48497,0.000936,0.000936,0.000936
10,7511.71,0.72644,1.53855,1.38744,0.7081,0.69678,0.69089,0.42289,0.87865,2.04705,1.57944,0.000928,0.000928,0.000928
11,8229.09,0.72603,1.46023,1.37193,0.60241,0.65349,0.62451,0.41246,0.80465,2.15712,1.47026,0.00092,0.00092,0.00092
12,8942.4,0.74352,1.47005,1.37935,0.66146,0.66951,0.6474,0.43068,0.79068,1.95516,1.49223,0.000912,0.000912,0.000912
13,9653.26,0.71965,1.4061,1.37149,0.67214,0.71187,0.70719,0.47205,0.77036,1.8993,1.52302,0.000904,0.000904,0.000904
14,10366.1,0.70322,1.3508,1.37049,0.6712,0.7117,0.71849,0.47379,0.74111,1.9399,1.48302,0.000896,0.000896,0.000896
15,11079.3,0.70686,1.37857,1.34268,0.67308,0.67688,0.70084,0.44962,0.81568,1.92568,1.50688,0.000888,0.000888,0.000888
16,11791.9,0.70789,1.3319,1.34619,0.68521,0.71657,0.72554,0.48962,0.7216,1.70547,1.48017,0.00088,0.00088,0.00088
17,12504.7,0.70656,1.35475,1.33814,0.74256,0.72453,0.73537,0.48801,0.74711,1.67457,1.43823,0.000872,0.000872,0.000872
18,13216.8,0.69444,1.30236,1.34938,0.65332,0.65493,0.69008,0.47124,0.69863,1.86752,1.38257,0.000864,0.000864,0.000864
19,13928.7,0.68319,1.28702,1.31873,0.79109,0.5998,0.70362,0.48892,0.71662,1.80458,1.43165,0.000856,0.000856,0.000856
20,14640.6,0.68758,1.27695,1.32902,0.68538,0.68263,0.71521,0.48451,0.70201,1.82051,1.42708,0.000848,0.000848,0.000848
21,15353.2,0.68262,1.2439,1.3363,0.77915,0.72591,0.76822,0.52698,0.73113,1.55732,1.44117,0.00084,0.00084,0.00084
22,16065.6,0.67455,1.19676,1.31001,0.74621,0.69684,0.76662,0.50592,0.7382,1.60736,1.50217,0.000832,0.000832,0.000832
23,16777.5,0.691,1.23181,1.32669,0.69512,0.71505,0.71718,0.47048,0.77274,1.71103,1.50089,0.000824,0.000824,0.000824
24,17489.5,0.67382,1.21949,1.31007,0.72656,0.71561,0.75166,0.5214,0.67967,1.53336,1.38705,0.000816,0.000816,0.000816
25,18202.1,0.6534,1.15509,1.29973,0.72236,0.77072,0.75431,0.52287,0.67304,1.47811,1.40681,0.000808,0.000808,0.000808
26,18914.9,0.66919,1.17512,1.3063,0.74833,0.73888,0.75576,0.5424,0.64666,1.50097,1.31831,0.0008,0.0008,0.0008
27,19627.5,0.66035,1.13406,1.30287,0.76283,0.69114,0.76555,0.5306,0.68975,1.51625,1.40123,0.000792,0.000792,0.000792
28,20339.9,0.68112,1.15545,1.31255,0.68275,0.71285,0.73393,0.52125,0.67468,1.58199,1.36435,0.000784,0.000784,0.000784
29,21052.5,0.66301,1.12305,1.30645,0.80372,0.74233,0.79506,0.57962,0.65448,1.40559,1.29875,0.000776,0.000776,0.000776
30,21767.5,0.63889,1.09101,1.277,0.79109,0.7007,0.77015,0.55256,0.66594,1.4079,1.35594,0.000768,0.000768,0.000768
31,22481,0.64257,1.08427,1.28032,0.76182,0.7069,0.77404,0.57149,0.64439,1.42688,1.31728,0.00076,0.00076,0.00076
32,23195,0.66094,1.09882,1.29185,0.77182,0.76029,0.78941,0.55933,0.68249,1.36739,1.36239,0.000752,0.000752,0.000752
33,23907.5,0.64404,1.1136,1.28644,0.7719,0.72211,0.76927,0.54211,0.70347,1.44597,1.43979,0.000744,0.000744,0.000744
34,24620.7,0.66161,1.08071,1.29553,0.70314,0.78629,0.7594,0.55526,0.66061,1.41429,1.33723,0.000736,0.000736,0.000736
35,25334.5,0.65055,1.05395,1.28924,0.81314,0.70626,0.76053,0.56172,0.67295,1.39916,1.30906,0.000728,0.000728,0.000728
36,26047.7,0.65551,1.03722,1.27912,0.81619,0.68519,0.77453,0.55945,0.68778,1.34775,1.38114,0.00072,0.00072,0.00072
37,26760.9,0.64394,1.02353,1.27792,0.71766,0.71389,0.76107,0.55524,0.64353,1.40122,1.2874,0.000712,0.000712,0.000712
38,27474,0.63996,1.02021,1.27337,0.73863,0.72337,0.74212,0.52526,0.70249,1.38361,1.43361,0.000704,0.000704,0.000704
39,28187,0.64276,1.03104,1.28195,0.71534,0.76544,0.77343,0.55057,0.66624,1.34564,1.37843,0.000696,0.000696,0.000696
40,28900.4,0.6365,1.02167,1.28264,0.81016,0.66364,0.748,0.52967,0.68644,1.33317,1.45988,0.000688,0.000688,0.000688
41,29612.7,0.65111,1.03832,1.27421,0.76831,0.73713,0.7709,0.56162,0.66951,1.28485,1.34013,0.00068,0.00068,0.00068
42,30325.9,0.62391,1.01214,1.26131,0.7585,0.71616,0.75991,0.54688,0.67282,1.3664,1.34726,0.000672,0.000672,0.000672
43,31038.8,0.62042,0.97438,1.25527,0.7087,0.7364,0.73548,0.53381,0.68445,1.32766,1.39186,0.000664,0.000664,0.000664
44,31751.8,0.6234,0.96618,1.25498,0.80631,0.72781,0.77432,0.5602,0.65429,1.29583,1.3508,0.000656,0.000656,0.000656
